country,prct_rpt_crime,prct_leisure_satis_high,prct_life_satis_high,prct_rpt_pollution,prct_yng_adt_pop,police_trust_rating,avg_temp,avg_precipitation
Austria,12.4,35.3,37.9,10.7,18.6775435197109,7.2,44.6,39.3
Belgium,13.4,21.5,20.9,13.2,18.4851460433477,6.1,48.8,33.1
Bulgaria,25.0,14.6,5.9,15.1,18.4325765115954,3.6,49.4,24.7
Switzerland,10.9,25.8,38.5,8.9,18.4457868857281,7.4,42.5,46.7
Cyprus,9.8,24.0,14.2,9.2,23.3226282027637,4.7,66.1,15.4
Czechia,11.7,24.3,21.3,13.5,18.862489172677602,4.9,44.5,27.4
Germany,14.1,24.2,25.0,23.2,17.105589842993,6.4,46.6,29.4
Denmark,8.4,41.4,42.7,6.8,18.0820044066965,7.9,46.0,23.9
Estonia,9.2,22.2,13.5,9.9,19.688363056266894,6.0,41.9,25.6
Greece,11.8,11.6,12.8,19.6,17.604416155416,5.0,62.5,25.3
Spain,10.3,21.2,18.4,10.1,16.6743314398887,5.4,60.0,21.7
Finland,6.5,35.9,38.6,7.2,18.7139599901475,8.2,36.6,21.9
France,14.8,23.3,16.1,14.1,18.527500485112398,5.6,52.3,30.7
Croatia,3.0,24.5,15.0,7.0,18.5512623547541,6.10645161290323,55.1,41.1
Hungary,9.7,15.4,11.3,12.8,18.3451221961619,5.7,50.3,22.7
Ireland,9.9,29.1,30.6,4.6,20.6013349397843,6.9,49.4,40.8
Iceland,2.2,35.0,38.1,7.9,21.5933146573033,7.7,38.5,38.1
Italy,14.7,13.8,14.2,15.1,15.4749732744415,5.8,56.3,30.4
Lithuania,3.4,22.0,18.8,15.6,20.526780812037998,6.0,43.4,26.3
Luxembourg,12.2,30.0,25.7,16.1,18.9406522456197,6.1,46.7,32.4
Latvia,10.0,21.4,12.6,17.2,20.442857825964502,5.4,42.9,23.2
Malta,10.4,23.6,21.9,30.2,20.590659077406606,6.3,65.7,22.0
Netherlands,16.9,18.9,26.1,13.2,18.269979122586697,6.6,49.2,29.7
Norway,4.6,30.2,35.6,6.8,19.5865463817537,7.5,39.8,44.2
Poland,5.6,27.8,29.4,11.4,21.9158084735625,5.2,44.6,24.6
Portugal,7.8,23.9,13.8,13.1,17.0740447661458,5.4,60.4,32.5
Romania,14.1,18.0,19.7,14.5,18.775327519261502,6.4,47.6,24.7
Sweden,12.7,33.2,34.4,6.3,19.3862924193189,7.1,40.3,22.6
Slovenia,8.5,24.7,20.4,15.9,18.308799822845604,5.5,46.4,49.1
Slovakia,6.9,26.6,25.0,9.3,21.908599460889306,4.4,43.2,26.2
Turkey,10.7,12.2,11.1,24.5,18.7139599901475,6.5,54.2,25.7
United Kingdom,16.8,29.0,27.8,9.0,19.942316013787398,6.4,48.8,29.7
