,country,prct_rpt_crime,gdp,prct_leisure_satis_high,prct_leisure_satis_med,prct_leisure_satis_low,prct_life_satis_high,prct_life_satis_med,prct_life_satis_low,prct_rpt_pollution,total_pop,prct_yng_adt_pop,police_trust_rating,avg_temp,avg_low_temp,avg_precipitation
0,Austria,12.4,356237.6,35.3,41.4,23.3,37.9,49.3,12.9,10.7,8401940,18.6775435197109,7.2,44.6,37.4,39.3
1,Belgium,13.4,424660.3,21.5,60.6,17.9,20.9,69.9,9.2,13.2,11000638,18.4851460433477,6.1,48.8,42.0,33.1
2,Bulgaria,25.0,48128.6,14.6,33.9,51.5,5.9,29.8,64.2,15.1,7364570,18.4325765115954,3.6,49.4,43.4,24.7
3,Switzerland,10.9,605753.7,25.8,46.7,27.5,38.5,53.5,8.0,8.9,7954662,18.4457868857281,7.4,42.5,35.8,46.7
4,Cyprus,9.8,18490.2,24.0,48.0,28.1,14.2,48.8,37.0,9.2,840407,23.3226282027637,4.7,66.1,57.5,15.4
5,Czechia,11.7,176370.1,24.3,44.1,31.5,21.3,53.3,25.4,13.5,10436560,18.862489172677602,4.9,44.5,37.3,27.4
6,Germany,14.1,3159750.0,24.2,42.5,33.3,25.0,55.8,19.2,23.2,80219695,17.105589842993,6.4,46.6,40.5,29.4
7,Denmark,8.4,282089.9,41.4,40.9,17.7,42.7,46.6,10.6,6.8,5560628,18.0820044066965,7.9,46.0,41.6,23.9
8,Estonia,9.2,21682.6,22.2,44.9,33.0,13.5,52.1,34.4,9.9,1294455,19.688363056266898,6.0,41.9,35.9,25.6
9,Greece,11.8,176487.9,11.6,52.2,36.2,12.8,51.8,35.5,19.6,10816286,17.604416155416,5.0,62.5,53.9,25.3
10,Spain,10.3,1118743.0,21.2,49.0,29.7,18.4,58.4,23.2,10.1,46815910,16.6743314398887,5.4,60.0,52.3,21.7
11,Finland,6.5,216073.0,35.9,51.6,12.5,38.6,55.5,6.0,7.2,5375276,18.7139599901475,8.2,36.6,31.3,21.9
12,France,14.8,2228568.0,23.3,51.4,25.2,16.1,64.8,19.1,14.1,64933400,18.527500485112398,5.6,52.3,45.6,30.7
13,Croatia,3.0,46639.5,24.5,42.1,33.4,15.0,49.5,35.4,7.0,4284889,18.5512623547541,6.10645161290323,55.1,48.0,41.1
14,Hungary,9.7,113903.8,15.4,49.4,35.2,11.3,50.2,38.5,12.8,9937628,18.3451221961619,5.7,50.3,42.7,22.7
15,Ireland,9.9,273238.2,29.1,42.3,28.6,30.6,52.7,16.7,4.6,4574888,20.6013349397843,6.9,49.4,44.0,40.8
16,Iceland,2.2,18646.1,35.0,43.0,22.0,38.1,52.4,9.5,7.9,315556,21.5933146573033,7.7,38.5,34.2,38.1
17,Italy,14.7,1689824.0,13.8,58.2,28.0,14.2,63.0,22.7,15.1,59433744,15.4749732744415,5.8,56.3,49.1,30.4
18,Lithuania,3.4,38849.4,22.0,52.4,25.6,18.8,53.3,27.9,15.6,3043429,20.526780812037998,6.0,43.4,36.9,26.3
19,Luxembourg,12.2,53303.0,30.0,47.5,22.5,25.7,59.5,14.8,16.1,512353,18.9406522456197,6.1,46.7,41.2,32.4
20,Latvia,10.0,25037.7,21.4,57.8,20.8,12.6,56.6,30.8,17.2,2070371,20.442857825964502,5.4,42.9,38.2,23.2
21,Malta,10.4,10344.1,23.6,46.1,30.3,21.9,57.7,20.4,30.2,417432,20.590659077406603,6.3,65.7,59.1,22.0
22,Netherlands,16.9,708337.0,18.9,75.2,5.9,26.1,68.3,5.6,13.2,16655799,18.269979122586697,6.6,49.2,43.7,29.7
23,Norway,4.6,335747.5,30.2,45.3,24.5,35.6,54.1,10.3,6.8,4979954,19.5865463817537,7.5,39.8,33.8,44.2
24,Poland,5.6,426547.5,27.8,42.3,29.9,29.4,50.7,19.9,11.4,38044565,21.9158084735625,5.2,44.6,33.8,24.6
25,Portugal,7.8,186480.5,23.9,40.6,35.5,13.8,45.7,40.5,13.1,10562178,17.0740447661458,5.4,60.4,54.2,32.5
26,Romania,14.1,170393.6,18.0,59.6,22.4,19.7,63.7,16.7,14.5,20121641,18.775327519261502,6.4,47.6,41.1,24.7
27,Sweden,12.7,463147.5,33.2,44.9,21.9,34.4,56.6,9.0,6.3,9482855,19.3862924193189,7.1,40.3,33.6,22.6
28,Slovenia,8.5,40357.2,24.7,45.7,29.6,20.4,55.2,24.4,15.9,2050189,18.308799822845604,5.5,46.4,38.7,49.1
29,Slovakia,6.9,81226.1,26.6,44.0,29.4,25.0,48.6,26.4,9.3,5397036,21.908599460889302,4.4,43.2,36.0,26.2
30,Turkey,10.7,780224.9,12.2,36.4,51.5,11.1,38.6,50.3,24.5,7954662,18.7139599901475,6.5,54.2,44.6,25.7
31,United Kingdom,16.8,2403382.6,29.0,41.7,29.3,27.8,53.2,19.1,9.0,63182180,19.942316013787398,6.4,48.8,42.9,29.7
